DeviceName,Serial_Number
1nbe1e-hl2508bc.corp.cyient.com,00330-80000-00000-AA172
1nbe1e-hl3729pw.cynpw.com,00329-10380-13571-AA140
1nbe1e-hl3730pw.cynpw.com,00329-10380-13571-AA110
1nbe1e-hl3732pw.cynpw.com,00329-10380-13571-AA523
1nbe1e-hl3740pw.cynpw.com,00329-10380-13571-AA508
1nbe1e-hl3751pw.cynpw.com,00329-10380-13571-AA279
1nbe1e-hl3760pw.cynpw.com,00329-10380-13571-AA717
1nbe1e-hl3761pw.cynpw.com,00329-10380-13571-AA319
2b-lab-pc.cyient-bt.com,00329-10380-13571-AA670
adc-at.cyient-bt.com,00430-10515-68002-AA372
adwincollectsr.corp.cyient.com,00429-80586-12954-AA019
airbussql2016.corp.cyient.com,00376-30815-83172-AA538
at-backupserver.cyient-bt.com,00430-10515-68002-AA800
at-dataserver.cyient-bt.com,00430-10649-25120-AA155
at-kiwiapp.cyient-bt.com,00329-00000-00003-AA770
aubridl2c3z0t3.corp.cyient.com,00330-80000-00000-AA108
aubridlfpgz0t3.corp.cyient.com,00330-80000-00000-AA755
aubriigpdlpv2m3.corp.cyient.com,00329-10380-06518-AA748
auigppf2652rj.corp.cyient.com,00329-10380-75727-AA327
aumeladc1.corp.cyient.com,00454-10000-00001-AA041
aumelcldl740j3.corp.cyient.com,00330-80000-00000-AA712
aumelcldljw30j3.corp.cyient.com,00330-80000-00000-AA033
aumelcsdlq740j3.corp.cyient.com,00330-80000-00000-AA903
aumelcsprintser.corp.cyient.com,00329-10380-06518-AA062
aumeldd71rd8f2.corp.cyient.com,00330-80000-00000-AA106
aumeldl3k943t3.corp.cyient.com,00330-80000-00000-AA707
aumeldl470h9h2.corp.cyient.com,00330-80000-00000-AA797
aumeldl49glfk3.corp.cyient.com,00330-80000-00000-AA034
aumeldl5bh81t3.corp.cyient.com,00330-80000-00000-AA491
aumeldl5zbmfk3.corp.cyient.com,00330-80000-00000-AA181
aumeldl7c943t3.corp.cyient.com,00330-80000-00000-AA174
aumeldlb0f13t3.corp.cyient.com,00330-80000-00000-AA995
aumeldlb26gkn3.corp.cyient.com,00330-80000-00000-AA617
aumeldlbvltdk3.corp.cyient.com,00330-80000-00000-AA411
aumeldlg26gkn3.corp.cyient.com,00330-80000-00000-AA357
aumeldlgkxcpn2.corp.cyient.com,00330-80000-00000-AA013
aumeldlh3240j3.corp.cyient.com,00330-80000-00000-AA977
aumeldlh5411t3.corp.cyient.com,00330-80000-00000-AA430
aumelfs.corp.cyient.com,00454-20570-44815-AA940
aumelfz024m2.corp.cyient.com,00329-00000-00003-AA542
aumelllpf2vy4lg.corp.cyient.com,00329-10380-75727-AA135
aumelrhhl70tfd.corp.cyient.com,00330-80000-00000-AA631
aupelllpf2sj8rz.corp.cyient.com,00330-80000-00000-AA106
aupercudl5jck3.corp.cyient.com,00330-80000-00000-AA443
auperdl1ftlfk3.corp.cyient.com,00330-80000-00000-AA485
auperdl1tzlfk3.corp.cyient.com,00330-80000-00000-AA291
